id,question,note
1,パイオニアのロータスコンボの主要なカードを教えて,8/22 スマホ事故の再現（Lier→リーア）。複数枚の日本語名
2,モダンのアミュレット・タイタンでよく使われる土地を5枚挙げて,土地名の日本語化（トレイリア西部・グルールの芝地 等）
3,レガシーのデルバー系デッキで採用率が高い打ち消し呪文は？,意志の力・目くらまし 等の定番
4,《帰還した王、ケンリス》を統率者にしたデッキでよく一緒に使われるカードを教えて,読点入りの名前を《》で返せるか
5,スタンダードで今いちばん採用率の高いクリーチャーは何？,新しめのカード名＝知識でなく DB で引くか
6,Helm of Obedience と一緒に使われるカードは？,問いが英語名・Helm は日本語版なし→英語のまま＋「日本語版なし」
7,Pauper の親和デッキで使われるアーティファクト土地を教えて,日本語名（大焼炉・教議会の座席 等）
8,ヴィンテージでルールスはまだ使える？,和名の呼び名から正式名《夢の巣のルールス》へ寄せられるか
9,モダンのスケープシフトで原始のタイタンと一緒に入る土地は？,問いが裸の日本語名→答えは《》で返すか
10,デュエルコマンダーで人気の統率者を3人教えて,MTGO 公式由来の新データ（8/22）を引くか・伝説名の《》
