id,template,question,note
301,T4_legal_bare,ヴィンテージでまばゆい肉掻きはまだ使える？,card=Glaring Fleshraker（裸の日本語名で問う）
302,T5_en_question,Mishra's Bauble はどのフォーマットのどんなデッキで使われてる？,card=Mishra's Bauble
303,T6_arch_lands,モダンのInstant Reanimatorでよく使われる土地を5枚挙げて,archetype=Instant Reanimator
304,T7_top_type,ヴィンテージで今いちばん採用率の高いエンチャントは？上位5枚,type=Enchantment
305,T8_dfc,《火》を使うデッキはモダンでどれくらいある？主なカードも教えて,card=Fire // Ice（両面/分割）
306,T9_comma,レガシーで《トラブルメーカー、ラフとマイキー》と一緒によく使われるカードは？,"card=Raph & Mikey, Troublemakers（読点入り）"
307,T1_arch_cards,スタンダードのSelesnya Landfallの主要なカードを教えて,archetype=Selesnya Landfall decks=73
308,T2_partner_ja,モダンで《コジレックの命令》と一緒に入るカードは？,card=Kozilek's Command
309,T3_edh_partner,統率者戦で《朱地洞の族長、トーブラン》を使うデッキでよく一緒に使われるカードは？,"card=Torbran, Thane of Red Fell"
310,T4_legal_bare,ヴィンテージで白羽山の冒険者はまだ使える？,card=White Plume Adventurer（裸の日本語名で問う）
311,T5_en_question,Land Grant はどのフォーマットのどんなデッキで使われてる？,card=Land Grant
312,T6_arch_lands,ヴィンテージのGolos MUDでよく使われる土地を5枚挙げて,archetype=Golos MUD
313,T7_top_type,モダンで今いちばん採用率の高いエンチャントは？上位5枚,type=Enchantment
314,T8_dfc,《素早き救済者、アン》を使うデッキはスタンダードでどれくらいある？主なカードも教えて,"card=Aang, Swift Savior // Aang and La, Ocean's Fury（両面/分割）"
315,T9_comma,ヴィンテージで《大いなる創造者、カーン》と一緒によく使われるカードは？,"card=Karn, the Great Creator（読点入り）"
316,T1_arch_cards,モダンのLandless Belcherの主要なカードを教えて,archetype=Landless Belcher decks=49
317,T2_partner_ja,レガシーで《ナルコメーバ》と一緒に入るカードは？,card=Narcomoeba
318,T3_edh_partner,統率者戦で《秘本に縛られし者、プロスパー》を使うデッキでよく一緒に使われるカードは？,"card=Prosper, Tome-Bound"
